Brandstof omschrijving,Bouwjaar,Aantal auto's,Aantal auto's cumulatief,Relatief Cumulatief
Benzine,2012,335688,335688,8.274071087089622
Benzine,2013,303816,639504,15.762557960005008
Benzine,2014,307834,947338,23.35008089506121
Benzine,2015,339074,1286412,31.70761044566721
Benzine,2016,374520,1660932,40.93881651659261
Benzine,2017,430837,2091769,51.558129583930224
Benzine,2018,469339,2561108,63.12644376240416
Benzine,2019,472433,3033541,74.77101915946038
Benzine,2020,386574,3420115,84.29933341680822
Benzine,2021,361189,3781304,93.20195567877414
Benzine,2022,275804,4057108,100.0
Diesel,2012,84776,84776,11.282286054979451
Diesel,2013,73385,158161,21.048618061026765
Diesel,2014,77824,235985,31.40570768477312
Diesel,2015,90028,326013,43.38694823584524
Diesel,2016,74248,400261,53.26813129484914
Diesel,2017,97533,497794,66.24816344782063
Diesel,2018,92264,590058,78.52697868534804
Diesel,2019,63772,653830,87.01397908992186
Diesel,2020,37281,691111,91.97546472755148
Diesel,2021,33870,724981,96.48300257649639
Diesel,2022,26427,751408,100.0
Elektriciteit,2012,253,253,0.07376200819253925
Elektriciteit,2013,1776,2029,0.591553812737795
Elektriciteit,2014,1709,3738,1.0898118048368053
Elektriciteit,2015,2091,5829,1.6994416828233647
Elektriciteit,2016,3192,9021,2.6300674936952437
Elektriciteit,2017,7653,16674,4.861295354159681
Elektriciteit,2018,24086,40760,11.883555153865217
Elektriciteit,2019,63018,103778,30.256417732036912
Elektriciteit,2020,76017,179795,52.41913147421974
Elektriciteit,2021,72133,251928,73.44946719339931
Elektriciteit,2022,91067,342995,100.0
Hybride,2012,16588,16588,2.6977972651218463
Hybride,2013,29215,45803,7.449192677500357
Hybride,2014,20674,66477,10.811518494906256
Hybride,2015,46888,113365,18.437170663162412
Hybride,2016,32838,146203,23.77779440273748
Hybride,2017,24697,170900,27.794402737480322
Hybride,2018,31974,202874,32.99450942635215
Hybride,2019,42729,245603,39.94376065262363
Hybride,2020,75957,321560,52.297063453857064
Hybride,2021,134281,455841,74.13591771946031
Hybride,2022,159031,614872,100.0
